"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"14/12/2020";"1220411341";"CE";"Outro";"552093000000329";"1";"Outros Recursos";"20360001";"Serviços advocatícios";"1";"Financeiro";"1";"Financeiro";"37403301";"24745119";"14/12/2020";"Serviços advocatícios";"500,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"15/12/2020";"1220421749";"CE";"Outro";"900005";"2";"Fundo Especial de Financiamento de Campanha";"20360001";"Serviços advocatícios";"1";"Financeiro";"1";"Financeiro";"38329441";"25516895";"10/11/2020";"Serviços advocatícios";"5000,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"19/10/2021";"1220406401";"CE";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"41206416";"27886862";"09/11/2020";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"10,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"10/11/2021";"1367723071";"CE";"#NULO#";"850006";"2";"Fundo Especial de Financiamento de Campanha";"20240000";"Doações financeiras a outros candidatos/partidos";"1";"Financeiro";"1";"Financeiro";"41262296";"27927692";"15/12/2020";"Doações financeiras a outros candidatos/partidos";"6000,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"15/12/2020";"1220418150";"CE";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"37787198";"25063497";"14/12/2020";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"21,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"09/04/2021";"1220416038";"CE";"#NULO#";"9138731";"2";"Fundo Especial de Financiamento de Campanha";"20240000";"Doações financeiras a outros candidatos/partidos";"1";"Financeiro";"1";"Financeiro";"40544502";"27327818";"14/12/2020";"Doações financeiras a outros candidatos/partidos";"13956,10"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"14/12/2020";"1306923960";"CE";"#NULO#";"850011";"2";"Fundo Especial de Financiamento de Campanha";"20240000";"Doações financeiras a outros candidatos/partidos";"1";"Financeiro";"1";"Financeiro";"37157634";"24548908";"04/11/2020";"Doações financeiras a outros candidatos/partidos";"900,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"20/05/2022";"1220410756";"CE";"#NULO#";"#NULO#";"2";"Fundo Especial de Financiamento de Campanha";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"41464442";"28085121";"06/11/2020";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"2,60"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"12/02/2021";"1220406152";"CE";"#NULO#";"850044";"2";"Fundo Especial de Financiamento de Campanha";"20240000";"Doações financeiras a outros candidatos/partidos";"1";"Financeiro";"1";"Financeiro";"40296780";"27104845";"13/11/2020";"Doações financeiras a outros candidatos/partidos";"1000,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"05/01/2021";"1220414964";"CE";"#NULO#";"#NULO#";"0";"Fundo Partidário";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"39701259";"26605504";"20/10/2020";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"16,50"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"28/01/2022";"1220406550";"CE";"Nota Fiscal";"316957";"0";"Fundo Partidário";"20120000";"Serviços prestados por terceiros";"1";"Financeiro";"1";"Financeiro";"41384908";"28017926";"11/11/2020";"Serviços prestados por terceiros";"9760,40"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"17/12/2021";"1220421044";"CE";"Nota Fiscal";"554272000030833";"2";"Fundo Especial de Financiamento de Campanha";"20140000";"Publicidade por materiais impressos";"1";"Financeiro";"1";"Financeiro";"41350267";"27993441";"01/12/2020";"Publicidade por materiais impressos";"3100,00"
"01/10/2022";"23:15:16";"2020";"2";"Ordinária";"Final";"17/12/2021";"1220421044";"CE";"Nota Fiscal";"554272000030833";"2";"Fundo Especial de Financiamento de Campanha";"20140000";"Publicidade por materiais impressos";"1";"Financeiro";"1";"Financeiro";"41350085";"27993436";"01/12/2020";"Publicidade por materiais impressos";"3100,00"
